[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.79
[File, File, Image] FileName - File Name: InDesign_3_failed.indd
[File, File, Image] Directory - Directory: t
[File, File, Image] FileSize - File Size: 12 kB
[File, File, Time] FileModifyDate - File Modification Date/Time: 2009:06:19 17:52:33-04:00
[File, File, Image] FileType - File Type: INDD
[File, File, Image] MIMEType - MIME Type: application/x-indesign
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 7.79
[XMP, XMP-rdf, Document] about - About: d5d09d4b-2831-11dc-bfa2-d89eae7bab84
[XMP, XMP-dc, Image] format - Format: application/x-indesign
[XMP, XMP-pdf, Author] Author - Author: Phil Harvey
[XMP, XMP-xmp, Time] CreateDate - Create Date: 2007:06:30 00:19:02Z
[XMP, XMP-xmp, Image] CreatorTool - Creator Tool: Adobe InDesign 3.0
[XMP, XMP-xmp, Time] MetadataDate - Metadata Date: 2007:06:30 00:19:17Z
[XMP, XMP-xmp, Time] ModifyDate - Modify Date: 2007:06:30 00:19:17Z
[XMP, XMP-xmpMM, Other] DocumentID - Document ID: adobe:docid:indd:d5d09d4a-2831-11dc-bfa2-d89eae7bab84
[XMP, XMP-xmpMM, Other] RenditionClass - Rendition Class: default
